KM,Link,Detalhe_Combustivel,Detalhe_Cor,Situação,Detalhe_Localizacao,UF,Detalhe_KM_Veiculo,Detalhe_Valor_Mercado,Detalhe_Ano_Veiculo,Detalhe_Possui_Chave,Valor do Lance,Detalhe_Tipo_Retomada,Detalhe_Tipo_Veiculo,Data Leilão,Imagem,Ano,Título
N/A,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/toyota/camry-xle/ano.2019/3b6b00bd-0c99-11ef-b80e-02420a000059,,N/A,Leilão ao vivo em: 3 dias 18h9m9s,N/A,SP,N/A,N/A,,N/A,"R$ 86.900,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279488760_8dda5c53-ff8d-4255-91a1-9b111634b2a4_pequena_leilo.webp,2018,TOYOTA/CAMRY XLE
N/A,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/mitsubishi/pajero-hpe-d/ano.2010/fea1b4a3-b658-11ef-8e48-02420a000017,,N/A,Leilão ao vivo em: 3 dias 18h9m39s,N/A,PR,N/A,N/A,,N/A,"R$ 53.200,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279303603_32134da5-72ae-44c2-b30b-20d280557f85_pequena_leilo.webp,2009,MITSUBISHI/PAJERO HPE D
282.195 km,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/renault/logan-expression-(2p%2F4p)/ano.2011/d4221903-e400-11ef-903d-02420a000042,,N/A,Leilão ao vivo em: 3 dias 18h10m8s,N/A,RS,,N/A,,N/A,"R$ 13.200,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279264147_e5dd279d-a425-4eed-908a-e79a5fcf9374_pequena_leilo.webp,2010,RENAULT/LOGAN EXPRESSION (2P/4P)
180.113 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/renault/sandero-expression-(4p)/ano.2019/ae8347c3-13e6-11f0-b6cf-02420a00009e,,N/A,Leilão ao vivo em: 3 dias 18h11m8s,N/A,SP,,N/A,,N/A,"R$ 22.600,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279334583_ea886e10-aa73-40fa-85f8-f6ad7cd0cc34_pequena_leilo.webp,2018,RENAULT/SANDERO EXPRESSION (4P)
221.069 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-passion-xr-(4p)/ano.2011/2011ea03-3008-11f0-9f79-02420a000005,,N/A,Leilão ao vivo em: 3 dias 18h11m37s,N/A,SP,,N/A,,N/A,"R$ 10.800,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279233334_b8286ab0-e6ec-48b6-aa31-2e31a297063a_pequena_leilo.webp,2011,PEUGEOT/207 PASSION XR (4P)
243.219 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/mitsubishi/outlander-v6/ano.2008/dacab325-14a7-11f0-b6cf-02420a00009e,,N/A,Leilão ao vivo em: 3 dias 18h12m36s,N/A,SP,,N/A,,N/A,"R$ 22.100,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279206328_e7cd1fc5-f478-4574-b167-b9ec7ec91c39_pequena_leilo.webp,2008,MITSUBISHI/OUTLANDER V6
161.331 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-xr-(2p%2F4p)/ano.2011/4a911237-2607-11f0-bcc9-02420a000216,,N/A,Leilão ao vivo em: 3 dias 18h13m6s,N/A,SP,,N/A,,N/A,"R$ 11.200,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279123075_0f5bff52-8dd3-4201-9757-6222884b1502_pequena_leilo.webp,2010,PEUGEOT/207 XR (2P/4P)
141.001 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volvo/xc60-t5-dynamic/ano.2012/a09bf23f-10c6-11f0-8c72-02420a00002d,,N/A,Leilão ao vivo em: 3 dias 18h13m35s,N/A,SP,,N/A,,N/A,"R$ 40.700,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279094085_cdef048c-6836-4cc4-9f41-a99eaa57a4e2_pequena_leilo.webp,2011,VOLVO/XC60 T5 DYNAMIC
95.775 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/fiat/bravo-essence-(4p)/ano.2014/8bad396c-dcdb-11ef-903d-02420a000042,,N/A,Leilão ao vivo em: 3 dias 18h14m4s,N/A,SP,,N/A,,N/A,"R$ 20.100,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279160434_044bc520-441d-4484-a319-2fe40312e788_pequena_leilo.webp,2013,FIAT/BRAVO ESSENCE (4P)
268.241 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/ford/focus-2.0l-fc-(4p)/ano.2005/6e55e439-ae8d-11ef-8e48-02420a000017,N/A,N/A,Leilão ao vivo em: 3 dias 18h14m20s,N/A,SP,N/A,N/A,N/A,N/A,"R$ 10.600,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279061847_c2a89cf4-cf62-4b27-83e6-e61d2fb48988_pequena_leilo.webp,2005,FORD/FOCUS 2.0L FC (4P)
