veiculo_titulo,veiculo_link_lote,veiculo_imagem,veiculo_patio_uf,veiculo_ano_fabricacao,veiculo_km,veiculo_valor_lance_atual,veiculo_situacao,veiculo_data_leilao,veiculo_tipo_combustivel,veiculo_cor,veiculo_possui_chave,veiculo_tipo_retomada,veiculo_tipo,veiculo_valor_fipe,veiculo_fabricante,veiculo_modelo,veiculo_patio_uf_localizacao
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/30d66932-8bca-11ef-a6ca-02420a000013,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288761313_102840f5-976e-48bf-bb35-31d7b05f0b8b_pequena_leilo.webp,RS,2018,N/A,"R$ 17.000,00",Leilão ao vivo em: 15h31m9s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BMW/320I VA71,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/bmw/320i-va71/ano.2007/2d4d96c2-be21-11ef-8e48-02420a000017,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288911397_f9aef576-2106-4752-8957-1ace8779a9d3_pequena_leilo.webp,SP,2006,N/A,"R$ 17.000,00",Leilão ao vivo em: 15h31m39s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/GOL 1.0 GIV (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-1.0-giv-(2p%2F4p)/ano.2014/fe6d7abb-1f72-11ef-b7fa-02420a00001f,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288880460_1bb65db3-3a00-499d-9c41-ae8d47a8dc11_pequena_leilo.webp,SP,2013,139.039 km,"R$ 12.000,00",Leilão ao vivo em: 15h32m5s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/SIENA HLX FLEX (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/fiat/siena-hlx-flex-(4p)/ano.2007/153ee278-d295-11ee-843f-02420a00007b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/1/1751395410908_93d36cf4-9b62-4437-b56d-327a002efbec_pequena_leilo.webp,PR,2006,253.438 km,"R$ 9.000,00",Leilão ao vivo em: 15h32m35s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RENAULT/LOGAN EXPRESSION (2P/4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/renault/logan-expression-(2p%2F4p)/ano.2011/d4221903-e400-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288791667_87ae440e-43c0-42f5-a3bc-ccd9c5e1db5a_pequena_leilo.webp,RS,2010,282.195 km,"R$ 9.000,00",Leilão ao vivo em: 15h33m5s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/MONTANA LS,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/montana-ls/ano.2012/93554a23-0a73-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288851929_befc0565-c251-4d9b-b78e-25d4b26feadd_pequena_leilo.webp,SP,2011,225.114 km,"R$ 20.800,00",Leilão ao vivo em: 15h34m4s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEUGEOT/207 PASSION XR (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/peugeot/207-passion-xr-(4p)/ano.2011/2011ea03-3008-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/6/30/1751288820615_6fe5b369-ec23-4371-9a95-d7ac3bea36dc_pequena_leilo.webp,SP,2011,221.069 km,"R$ 7.000,00",Leilão ao vivo em: 15h34m33s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/COBALT ELITE (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/cobalt-elite-(4p)/ano.2018/2eaacfa6-0d3f-11ef-b80e-02420a000059,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751630101007_de951cd6-fdae-4fff-b770-783dfb75b933_pequena_leilo.webp,PR,2017,N/A,"R$ 28.000,00",Leilão ao vivo em: 15h35m2s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/UNO SPORTING (4P/2P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/fiat/uno-sporting-(4p%2F2p)/ano.2016/f8bc2363-1001-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627400891_6db97169-2e22-4852-b5aa-fb898ed70298_pequena_leilo.webp,PR,2015,116.319 km,"R$ 26.000,00",Leilão ao vivo em: 15h35m31s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/NOVO VOYAGE COMFORTLINE MBV (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/volkswagen/novo-voyage-comfortline-mbv-(4p)/ano.2017/336f5afb-f066-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627372272_dd49131a-32ec-482a-8d28-d281e66ff7d6_pequena_leilo.webp,PR,2017,153.396 km,"R$ 25.000,00",Leilão ao vivo em: 15h36m0s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/VOYAGE COMFORTLINE SB (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/voyage-comfortline-sb-(4p)/ano.2016/ad1d4448-10c4-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627400693_2fb626b8-7759-4fe8-8204-dcc2b1ba37a5_pequena_leilo.webp,SP,2015,161.032 km,"R$ 22.000,00",Leilão ao vivo em: 15h36m27s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD/FIESTA FLEX (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/ford/fiesta-flex-(4p)/ano.2011/cce9b065-f051-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627461008_67560396-8871-4ca7-80b2-2c672df4e664_pequena_leilo.webp,PR,2010,143.237 km,"R$ 12.000,00",Leilão ao vivo em: 15h36m56s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/SPACEFOX SPORTLINE GII,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/spacefox-sportline-gii/ano.2011/5915ebd9-1ac5-11f0-abeb-02420a0000a3,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627432563_b4852a50-1f55-4f37-ba17-ee0754c92635_pequena_leilo.webp,SP,2010,195.815 km,"R$ 15.900,00",Leilão ao vivo em: 15h37m26s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/S10 DE LUXE CABINE DUPLA,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/s10-de-luxe-cabine-dupla/ano.2002/8dc0db95-eeda-11ef-bd15-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751639912111_6a81ce1e-8738-4539-bc00-70a34c2b56cd_pequena_leilo.webp,SP,2001,99.999.999 km,"R$ 20.000,00",Leilão ao vivo em: 15h37m55s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/NOVO VOYAGE TRENDLINE MBV (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/novo-voyage-trendline-mbv-(4p)/ano.2017/acb627b0-3748-11f0-bd5d-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627730657_225c529f-045f-4f9a-8555-695f875566a1_pequena_leilo.webp,SP,2016,272.401 km,"R$ 21.000,00",Leilão ao vivo em: 15h38m24s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/CRUZE HATCH LT HB (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/cruze-hatch-lt-hb-(4p)/ano.2013/054c67fe-d438-11ef-903d-02420a000042,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627492557_47cc37c9-6843-498a-aa6d-629e441600a4_pequena_leilo.webp,PR,2013,222.118 km,"R$ 27.000,00",Leilão ao vivo em: 15h38m54s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX LT 1.0 (4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/onix-lt-1.0-(4p)/ano.2019/a73465ec-4180-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751653950929_2a7912e6-ef2e-45a3-acc0-85cce85d6af1_pequena_leilo.webp,PR,2018,193.474 km,"R$ 27.000,00",Leilão ao vivo em: 15h39m23s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SUBARU/IMPREZA,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/subaru/impreza/ano.2016/20c03bfa-3b1f-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627731733_91a3279e-f1a4-460c-9f4b-a29d69a6a92c_pequena_leilo.webp,SP,2015,108.051 km,"R$ 36.000,00",Leilão ao vivo em: 15h39m53s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MITSUBISHI/OUTLANDER V6,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/mitsubishi/outlander-v6/ano.2008/dacab325-14a7-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627700682_959822a3-8da2-451e-ad94-b15ca7c391e2_pequena_leilo.webp,SP,2008,243.219 km,"R$ 18.000,00",Leilão ao vivo em: 15h40m51s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLVO/XC60 T5 DYNAMIC,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volvo/xc60-t5-dynamic/ano.2012/a09bf23f-10c6-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627552741_19788fa6-bbfd-4f4b-87ba-b1b8412a49a0_pequena_leilo.webp,SP,2011,141.001 km,"R$ 27.000,00",Leilão ao vivo em: 15h41m20s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/FREEMONT PREC AT6,https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/fiat/freemont-prec-at6/ano.2014/87a7dfdf-69fa-11ef-a764-02420a00003c,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751629441416_fa36b60a-d4b1-4a9a-8447-4f3dc8654067_pequena_leilo.webp,RS,2013,170.813 km,"R$ 23.000,00",Leilão ao vivo em: 15h41m34s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/PRISMA JOY (4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/chevrolet/prisma-joy-(4p)/ano.2009/566f9698-300b-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/2/1751461470893_0710236c-6341-42f1-a986-6d3bc29439c7_pequena_leilo.webp,RS,2009,180.305 km,"R$ 9.000,00",Leilão ao vivo em: 15h42m3s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RENAULT/CLIO CAMPUS (2P/4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/renault/clio-campus-(2p%2F4p)/ano.2010/dab9deb5-2c10-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751629560557_71ace2ba-7991-473e-b3a8-8cc92cad9b50_pequena_leilo.webp,RS,2009,203.404 km,"R$ 9.000,00",Leilão ao vivo em: 15h42m33s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEUGEOT/207 XR (2P/4P),https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/peugeot/207-xr-(2p%2F4p)/ano.2012/3c31a79b-2cd6-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751629473695_61c2a92f-926b-4bf0-abcd-294932f439bb_pequena_leilo.webp,PR,2011,193.754 km,"R$ 8.000,00",Leilão ao vivo em: 15h43m2s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/CLASSIC LS (2P/4P),https://leilo.com.br/leilao/alvorada-rio-grande-do-sul/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2012/1517a6ad-1471-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751629501062_dc0b8efc-afa8-473f-922f-dabedd06f3b3_pequena_leilo.webp,RS,2011,145.733 km,"R$ 7.000,00",Leilão ao vivo em: 15h43m30s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX 10MT LT1,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-10mt-lt1/ano.2020/82a19feb-f57c-11ed-a755-02420a000027,https://leilo.com.br/lote/fotos-modelo/carro.jpg,SP,2020,97.308 km,"R$ 20.600,00",Leilão ao vivo em: 15h43m59s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/GOL CL MI (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-cl-mi-(2p%2F4p)/ano.1999/33cfb5ae-fec8-11ef-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627670622_7eed8ccd-9a7d-4404-b752-75940fd01100_pequena_leilo.webp,SP,2099,N/A,"R$ 2.600,00",Leilão ao vivo em: 15h44m29s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYUNDAI/HB20S COMFORTLINE (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/hyundai/hb20s-comfortline-(4p)/ano.2016/11f26b0e-2c41-11f0-9f79-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751664810868_4f7e3801-a4dd-4580-8636-ec473fe960ba_pequena_leilo.webp,SP,2016,67.855 km,"R$ 30.500,00",Leilão ao vivo em: 15h44m59s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX LT 1.4 MECANICO (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2018/a2d9e800-2213-11f0-bcc9-02420a000216,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627610950_b4eb92f5-ce92-4388-80b5-e63370235cb1_pequena_leilo.webp,SP,2018,119.982 km,"R$ 32.000,00",Leilão ao vivo em: 15h45m28s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/TRACKER A LT,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-a-lt/ano.2024/a0ef2334-0449-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751652661228_403881bc-381d-498c-82f7-7b215a7332d8_pequena_leilo.webp,SP,2024,106.610 km,"R$ 66.000,00",Leilão ao vivo em: 15h45m57s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/SPIN LTZ 1.8L AUTOMATICO,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/spin-ltz--1.8l-automatico/ano.2025/791abe68-3bb7-11f0-b593-02420a000005,https://leilo.com.br/lote/fotos-modelo/carro.jpg,SP,2024,35.080 km,"R$ 74.000,00",Leilão ao vivo em: 15h46m26s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX PLUS JOY BLACK,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/onix-plus-joy-black/ano.2021/3ffce09b-3bd4-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627614989_53befd9a-1788-413e-b3e3-0415a84dc7ae_pequena_leilo.webp,PR,2021,55.905 km,"R$ 34.300,00",Leilão ao vivo em: 15h46m56s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET/ONIX LT 1.0 (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-lt-1.0-(4p)/ano.2018/0f98d8ee-3fb2-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627704808_53c0a26f-66c5-4ab8-ae39-48c1e01f2d2b_pequena_leilo.webp,SP,2017,155.548 km,"R$ 28.000,00",Leilão ao vivo em: 15h47m25s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD/KA SE B (4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/ford/ka-se-b-(4p)/ano.2018/3573c385-3e2a-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751627643200_9c6de630-70bf-413c-8972-e716194f9253_pequena_leilo.webp,SP,2018,80.291 km,"R$ 23.200,00",Leilão ao vivo em: 15h47m55s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/GOL CITY MB (2P/4P),https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/gol-city-mb-(2p%2F4p)/ano.2015/5fd619fb-058f-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751629533374_8661235e-8a86-4032-ac02-6358fbb07b40_pequena_leilo.webp,SP,2014,235.489 km,"R$ 18.200,00",Leilão ao vivo em: 15h48m24s,07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NISSAN/VERSA ADVANCE (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/versa-advance-(4p)/ano.2022/323ac51e-3a62-11f0-9677-02420a00000b,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751651101100_46349009-56dd-46ca-80d3-c714fdf9f975_pequena_leilo.webp,GO,2021,128.601 km,"R$ 47.300,00",Leilão ao vivo em: 1 dia 10h55m23s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/FOX CONNECT MB (4P/2P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/fox-connect-mb-(4p%2F2p)/ano.2022/f37da528-0a41-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751665145473_219ed0be-18e9-400f-a854-8f4a620f9eb3_pequena_leilo.webp,GO,2021,64.661 km,"R$ 37.400,00",Leilão ao vivo em: 1 dia 10h55m53s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYUNDAI/HB20S VISION,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20s-vision/ano.2021/aeb6c3ca-ed2c-11ee-a5fb-02420a0000e9,https://leilo.com.br/lote/fotos-modelo/carro.jpg,GO,2020,72.791 km,"R$ 36.400,00",Leilão ao vivo em: 1 dia 10h56m20s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/STRADA FREEDOM CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-freedom-cabine-dupla/ano.2019/b779573d-0434-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751651070594_303ad296-16d9-414c-bcf3-f3eb93c3d23d_pequena_leilo.webp,GO,2018,90.489 km,"R$ 56.800,00",Leilão ao vivo em: 1 dia 10h56m50s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FORD/KA HATCH SE 1.0 C (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/ford/ka-hatch-se-1.0-c-(4p)/ano.2019/d4dda716-16c7-11f0-b6cf-02420a00009e,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751651041938_5795aa53-f88a-4660-a801-abf7befccdb6_pequena_leilo.webp,GO,2018,182.651 km,"R$ 24.700,00",Leilão ao vivo em: 1 dia 10h57m19s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT/STRADA ADVENTURE CABINE DUPLA,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-adventure-cabine-dupla/ano.2018/91137960-13a8-11f0-8c72-02420a00002d,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751665113458_759200da-6a36-4861-942c-539ca4b06f4c_pequena_leilo.webp,GO,2017,176.455 km,"R$ 41.800,00",Leilão ao vivo em: 1 dia 10h58m48s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN/VOYAGE 1.0 (4P),https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/voyage-1.0-(4p)/ano.2013/0327db36-5043-11f0-b593-02420a000005,https://leilo.cdndp.com.br/v1/arquivo/2025/7/4/1751664618078_f06a4c3c-23e3-4008-83e3-706dff9d3b42_pequena_leilo.webp,GO,2012,218.079 km,"R$ 18.500,00",Leilão ao vivo em: 1 dia 10h59m17s,08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
