Ano Modelo,Ano de Fabricacao,Chaves,Combustivel,Condicao do Motor,Data Início,Data Término,Descricao Detalhada,Final da Placa,Imagem,KM,Lance Atual,Lance Inicial,Link,Localizacao Detalhe,Lote Número,Marca,Procedencia,Situação,Tabela FIPE,Total Lances,Título,Valor Mercado,Visualizações
N/A,N/A,N/A,N/A,N/A,01/06/2025,05/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_449_bmw-328i-15-15_parquedosleilao.com_zz0569a5c9ea.JPG,N/A,"R$: 64.200,00","R$: 59.200,00",https://parquedosleiloesoficial.com/lote/BMW-328I-15-15-/449/,N/A,00003,N/A,N/A,ARREMATADO,N/A,26,BMW 328I 15/15,N/A,628
N/A,N/A,N/A,N/A,N/A,06/06/2025,10/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_321_chevrolet-camaro-6-2-11-11_parquedosleilao.com_zzc67dbe69ab.jpg,N/A,"R$: 0,00","R$: 91.200,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-CAMARO-6.2-11-11-/321/,N/A,00003,N/A,N/A,NÃO ARREMATADO,N/A,0,CHEVROLET CAMARO 6.2 11/11,N/A,5
N/A,N/A,N/A,N/A,N/A,12/06/2025,16/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_381_chevrolet-celta-1-0-10-11_parquedosleilao.com_zz0790d18609.JPG,N/A,"R$: 14.800,00","R$: 10.200,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-CELTA-1.0-10-11-/381/,N/A,00003,N/A,N/A,ARREMATADO,N/A,24,CHEVROLET CELTA 1.0 10/11,N/A,953
2019,2018,Sim,FLEX,DA PARTIDA,17/06/2025,20/06/2025,"Marca: CHEVROLET
Modelo: ONIX 
Versão: ONIX 1.0 10MT JOYE
KM: 23.229
Ano de Fabricação: 2018
Ano Modelo: 2019
Chaves: Sim
Condição do Motor: DA PARTIDA 
Tabela FIPE R$ 46.508,00
Final da Placa: 4
Combustível: FLEX
Procedência: RECUPERADO DE FINANCIAMENTO",4,https://parquedosleiloesoficial.com/web/fotos/lotes_5_chevrolet-onix-1-0-18-19_parquedosleilao.com_zzca6a911413.JPG,23.229,"R$: 27.000,00","R$: 23.800,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-ONIX-1.0-18-19-/5/,N/A,00003,CHEVROLET,RECUPERADO DE FINANCIAMENTO,RECEBENDO LANCES,"46.508,00",17,CHEVROLET ONIX 1.0 18/19,N/A,449
N/A,N/A,N/A,N/A,N/A,07/06/2025,11/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_504_honda-civic-2-0-16-17_parquedosleilao.com_zz3c4431ef62.jpg,N/A,"R$: 0,00","R$: 48.300,00",https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-16-17-/504/,N/A,00003,N/A,N/A,NÃO ARREMATADO,N/A,0,HONDA CIVIC 2.0 16/17,N/A,8
N/A,N/A,N/A,N/A,N/A,02/06/2025,06/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_640_jeep-compass-2-0-17-18_parquedosleilao.com_zz306a56ac64.JPG,N/A,"R$: 0,00","R$: 36.800,00",https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-2.0-17-18--/640/,N/A,00003,N/A,N/A,NÃO ARREMATADO,N/A,0,JEEP COMPASS 2.0 17/18,N/A,9
N/A,N/A,N/A,N/A,N/A,31/05/2025,04/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_126_jeep-compass-20-20_parquedosleilao.com_zz7ce39cba82.jpg,N/A,"R$: 65.400,00","R$: 61.400,00",https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-20-20-/126/,N/A,00003,N/A,N/A,ARREMATADO,N/A,21,JEEP COMPASS 20/20,N/A,552
N/A,N/A,N/A,N/A,N/A,14/06/2025,18/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_580_mercedes-benz-a200-1-6-13-14_parquedosleilao.com_zz8d7ae434d9.JPG,N/A,"R$: 42.900,00","R$: 40.300,00",https://parquedosleiloesoficial.com/lote/MERCEDES-BENZ-A200-1.6-13-14-/580/,N/A,00003,N/A,N/A,ARREMATADO,N/A,14,MERCEDES BENZ A200 1.6 13/14,N/A,536
N/A,N/A,N/A,N/A,N/A,05/06/2025,09/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_65_nissan-kicks-21-22_parquedosleilao.com_zz6c15dafd3f.JPG,N/A,"R$: 43.600,00","R$: 39.400,00",https://parquedosleiloesoficial.com/lote/NISSAN-KICKS-21-22-/65/,N/A,00003,N/A,N/A,ARREMATADO,N/A,22,NISSAN KICKS 21/22,N/A,849
N/A,N/A,N/A,N/A,N/A,11/06/2025,13/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_261_toyota-corolla-17-18_parquedosleilao.com_zz601d055ab0.jpg,N/A,"R$: 45.200,00","R$: 42.800,00",https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-17-18-/261/,N/A,00003,N/A,N/A,ARREMATADO,N/A,13,TOYOTA COROLLA 17/18,N/A,278
N/A,N/A,N/A,N/A,N/A,08/06/2025,12/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_717_toyota-corolla-2-0-22-23_parquedosleilao.com_zz67837d3b3f.JPG,N/A,"R$: 66.900,00","R$: 64.100,00",https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-2.0-22-23--/717/,N/A,00003,N/A,N/A,ARREMATADO,N/A,15,TOYOTA COROLLA 2.0 22/23,N/A,557
N/A,N/A,N/A,N/A,N/A,07/06/2025,11/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_505_audi-a4-2-0-16-17_parquedosleilao.com_zz3b2ecfb2a8.jpg,N/A,"R$: 0,00","R$: 58.200,00",https://parquedosleiloesoficial.com/lote/AUDI-A4-2.0-16-17-/505/,N/A,00004,N/A,N/A,NÃO ARREMATADO,N/A,0,AUDI A4 2.0 16/17,N/A,4
N/A,N/A,N/A,N/A,N/A,14/06/2025,18/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_581_citroen-c3-1-0-23-23_parquedosleilao.com_zza1b197ee16.JPG,N/A,"R$: 39.400,00","R$: 34.800,00",https://parquedosleiloesoficial.com/lote/CITROEN-C3-1.0-23-23-/581/,N/A,00004,N/A,N/A,ARREMATADO,N/A,24,CITROEN C3 1.0 23/23,N/A,494
N/A,N/A,N/A,N/A,N/A,05/06/2025,09/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_66_ford-ka-08-09_parquedosleilao.com_zza5270f6fb8.jpg,N/A,"R$: 12.500,00","R$: 6.500,00",https://parquedosleiloesoficial.com/lote/FORD-KA-08-09-/66/,N/A,00004,N/A,N/A,ARREMATADO,N/A,31,FORD KA 08/09,N/A,837
N/A,N/A,N/A,N/A,N/A,31/05/2025,04/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_127_ford-ranger-17-17_parquedosleilao.com_zzf32dc4b0df.JPG,N/A,"R$: 60.800,00","R$: 57.200,00",https://parquedosleiloesoficial.com/lote/FORD-RANGER-17-17--/127/,N/A,00004,N/A,N/A,ARREMATADO,N/A,19,FORD RANGER 17/17,N/A,571
N/A,N/A,N/A,N/A,N/A,06/06/2025,10/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_322_honda-city-sedan-1-5-12-13_parquedosleilao.com_zzbf103f5bbe.jpg,N/A,"R$: 0,00","R$: 14.500,00",https://parquedosleiloesoficial.com/lote/HONDA-CITY-SEDAN-1.5-12-13-/322/,N/A,00004,N/A,N/A,NÃO ARREMATADO,N/A,0,HONDA CITY SEDAN 1.5 12/13,N/A,14
N/A,N/A,N/A,N/A,N/A,01/06/2025,05/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_450_jeep-cherokee-3-6-10-11_parquedosleilao.com_zz0e5f150fa9.JPG,N/A,"R$: 35.300,00","R$: 30.900,00",https://parquedosleiloesoficial.com/lote/JEEP-CHEROKEE-3.6-10-11-/450/,N/A,00004,N/A,N/A,ARREMATADO,N/A,23,JEEP CHEROKEE 3.6 10/11,N/A,602
N/A,N/A,N/A,N/A,N/A,11/06/2025,13/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_262_jeep-compass-18-19_parquedosleilao.com_zzd3828e7180.jpg,N/A,"R$: 39.000,00","R$: 36.400,00",https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-18-19-/262/,N/A,00004,N/A,N/A,ARREMATADO,N/A,14,JEEP COMPASS 18/19,N/A,306
N/A,N/A,N/A,N/A,N/A,12/06/2025,16/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_382_land-rover-discovery-22-23_parquedosleilao.com_zz7773d16939.JPG,N/A,"R$: 191.400,00","R$: 186.800,00",https://parquedosleiloesoficial.com/lote/LAND-ROVER-DISCOVERY-22-23--/382/,N/A,00004,N/A,N/A,ARREMATADO,N/A,24,LAND ROVER DISCOVERY 22/23,N/A,900
