titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo
JEEP CHEROKEE 3.6 10/11,https://parquedosleiloesoficial.com/lote/JEEP-CHEROKEE-3.6-10-11-/450/,https://parquedosleiloesoficial.com/web/fotos/lotes_450_jeep-cherokee-3-6-10-11_parquedosleilao.com_zz0e5f150fa9.JPG,N/A,30900.00,33500.00,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JEEP COMPASS 18/19,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-18-19-/262/,https://parquedosleiloesoficial.com/web/fotos/lotes_262_jeep-compass-18-19_parquedosleilao.com_zzd3828e7180.jpg,N/A,36400.00,37800.00,02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LAND ROVER DISCOVERY 22/23,https://parquedosleiloesoficial.com/lote/LAND-ROVER-DISCOVERY-22-23--/382/,https://parquedosleiloesoficial.com/web/fotos/lotes_382_land-rover-discovery-22-23_parquedosleilao.com_zz7773d16939.JPG,N/A,186800.00,190800.00,03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEUGEOT 208 22/23,https://parquedosleiloesoficial.com/lote/PEUGEOT-208-22-23-/6/,https://parquedosleiloesoficial.com/web/fotos/lotes_6_peugeot-208-22-23_parquedosleilao.com_zz595aa9d2b6.JPG,N/A,36700.00,0.00,20/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOYOTA COROLLA 2.0 15/16,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-2.0-15-16-/641/,https://parquedosleiloesoficial.com/web/fotos/lotes_641_toyota-corolla-2-0-15-16_parquedosleilao.com_zza3d672eae9.JPG,N/A,31900.00,35200.00,25/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN NIVUS 1.0 21/21,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-NIVUS-1.0-21-21-/718/,https://parquedosleiloesoficial.com/web/fotos/lotes_718_volkswagen-nivus-1-0-21-21_parquedosleilao.com_zzc9e1c9e54d.JPG,N/A,53500.00,56700.00,01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET ONIX 18/19,https://parquedosleiloesoficial.com/lote/CHEVROLET-ONIX-18-19-/263/,https://parquedosleiloesoficial.com/web/fotos/lotes_263_chevrolet-onix-18-19_parquedosleilao.com_zzdd4942e3f5.jpg,N/A,16200.00,18800.00,02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET S10 LS DD4 20/20,https://parquedosleiloesoficial.com/lote/CHEVROLET-S10-LS-DD4-20-20-/128/,https://parquedosleiloesoficial.com/web/fotos/lotes_128_chevrolet-s10-ls-dd4-20-20_parquedosleilao.com_zz195b19b391.JPG,N/A,63500.00,69300.00,23/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT UNO 12/12,https://parquedosleiloesoficial.com/lote/FIAT-UNO-12-12--/67/,https://parquedosleiloesoficial.com/web/fotos/lotes_67_fiat-uno-12-12_parquedosleilao.com_zza2ccc916ab.jpg,N/A,7800.00,0.00,26/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONDA CIVIC 1.8 12/13,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-1.8-12-13-/323/,https://parquedosleiloesoficial.com/web/fotos/lotes_323_honda-civic-1-8-12-13_parquedosleilao.com_zz55fbcaf6ab.jpg,N/A,21600.00,0.00,27/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
