titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo,veiculo_tipo,veiculo_patio_uf,veiculo_valor_vendido
FORD KA 08/09,https://parquedosleiloesoficial.com/lote/FORD-KA-08-09-/66/,https://parquedosleiloesoficial.com/web/fotos/lotes_66_ford-ka-08-09_parquedosleilao.com_zza5270f6fb8.jpg,126.215,6500.00,"R$ 10.300,00",14/07/2025,FORD,3,2008,2009,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 21.435,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,KA,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
FORD RANGER 17/17,https://parquedosleiloesoficial.com/lote/FORD-RANGER-17-17--/127/,https://parquedosleiloesoficial.com/web/fotos/lotes_127_ford-ranger-17-17_parquedosleilao.com_zzf32dc4b0df.JPG,N/A,57200.00,"R$ 60.200,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RANGER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 60.200,00"
HONDA CITY SEDAN 1.5 12/13,https://parquedosleiloesoficial.com/lote/HONDA-CITY-SEDAN-1.5-12-13-/322/,https://parquedosleiloesoficial.com/web/fotos/lotes_322_honda-city-sedan-1-5-12-13_parquedosleilao.com_zzbf103f5bbe.jpg,74.863,14500.00,"R$ 15.900,00",15/07/2025,HONDA,4,2012,2013,Sim,DA PARTIDA,"R$ 47.911,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,CITY,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
JEEP CHEROKEE 3.6 10/11,https://parquedosleiloesoficial.com/lote/JEEP-CHEROKEE-3.6-10-11-/450/,https://parquedosleiloesoficial.com/web/fotos/lotes_450_jeep-cherokee-3-6-10-11_parquedosleilao.com_zz0e5f150fa9.JPG,N/A,30900.00,"R$ 35.300,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CHEROKEE,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 35.300,00"
JEEP COMPASS 18/19,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-18-19-/262/,https://parquedosleiloesoficial.com/web/fotos/lotes_262_jeep-compass-18-19_parquedosleilao.com_zzd3828e7180.jpg,N/A,36400.00,"R$ 37.800,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPASS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 37.800,00"
LAND ROVER DISCOVERY 22/23,https://parquedosleiloesoficial.com/lote/LAND-ROVER-DISCOVERY-22-23--/382/,https://parquedosleiloesoficial.com/web/fotos/lotes_382_land-rover-discovery-22-23_parquedosleilao.com_zz7773d16939.JPG,N/A,186800.00,"R$ 190.800,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ROVER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 190.800,00"
PEUGEOT 208 22/23,https://parquedosleiloesoficial.com/lote/PEUGEOT-208-22-23-/6/,https://parquedosleiloesoficial.com/web/fotos/lotes_6_peugeot-208-22-23_parquedosleilao.com_zz595aa9d2b6.JPG,N/A,36700.00,"R$ 42.900,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,208,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 42.900,00"
TOYOTA COROLLA 2.0 15/16,https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-2.0-15-16-/641/,https://parquedosleiloesoficial.com/web/fotos/lotes_641_toyota-corolla-2-0-15-16_parquedosleilao.com_zza3d672eae9.JPG,N/A,31900.00,"R$ 37.300,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COROLLA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 37.300,00"
VOLKSWAGEN NIVUS 1.0 21/21,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-NIVUS-1.0-21-21-/718/,https://parquedosleiloesoficial.com/web/fotos/lotes_718_volkswagen-nivus-1-0-21-21_parquedosleilao.com_zzc9e1c9e54d.JPG,N/A,53500.00,"R$ 56.700,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NIVUS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 56.700,00"
CHEVROLET ONIX 18/19,https://parquedosleiloesoficial.com/lote/CHEVROLET-ONIX-18-19-/263/,https://parquedosleiloesoficial.com/web/fotos/lotes_263_chevrolet-onix-18-19_parquedosleilao.com_zzdd4942e3f5.jpg,N/A,16200.00,"R$ 18.800,00",02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ONIX,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 18.800,00"
CHEVROLET S10 LS DD4 20/20,https://parquedosleiloesoficial.com/lote/CHEVROLET-S10-LS-DD4-20-20-/128/,https://parquedosleiloesoficial.com/web/fotos/lotes_128_chevrolet-s10-ls-dd4-20-20_parquedosleilao.com_zz195b19b391.JPG,N/A,63500.00,"R$ 67.300,00",09/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,S10,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 67.300,00"
FIAT UNO 12/12,https://parquedosleiloesoficial.com/lote/FIAT-UNO-12-12--/67/,https://parquedosleiloesoficial.com/web/fotos/lotes_67_fiat-uno-12-12_parquedosleilao.com_zza2ccc916ab.jpg,94.610,7800.00,"R$ 11.200,00",14/07/2025,FIAT,4,2012,2012,Sim,DA PARTIDA FUNCIONA E ENGRENA,"R$ 24.883,00",Flex,RECUPERADO DE FINANCIAMENTO,N/A,UNO,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
HONDA CIVIC 1.8 12/13,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-1.8-12-13-/323/,https://parquedosleiloesoficial.com/web/fotos/lotes_323_honda-civic-1-8-12-13_parquedosleilao.com_zz55fbcaf6ab.jpg,79.241,21600.00,"R$ 23.000,00",15/07/2025,HONDA,5,2012,2013,Sim,DA PARTIDA,"R$ 62.190,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,CIVIC,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
N/A,https://parquedosleiloesoficial.com/lote/HONDA-FIT-1.4-03-04-/506/,https://parquedosleiloesoficial.com/web/fotos/lotes_506_honda-fit-1-4-03-04_parquedosleilao.com_zz246ddf581f.jpg,N/A,12400.00,"R$ 16.400,00",30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 16.400,00"
HYUNDAI CRETA 1.0 21/22,https://parquedosleiloesoficial.com/lote/HYUNDAI-CRETA-1.0-21-22-/642/,https://parquedosleiloesoficial.com/web/fotos/lotes_642_hyundai-creta-1-0-21-22_parquedosleilao.com_zz45b50eb61c.JPG,N/A,48200.00,"R$ 53.000,00",11/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CRETA,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 53.000,00"
HYUNDAI TUCSON 12/13,https://parquedosleiloesoficial.com/lote/HYUNDAI-TUCSON-12-13-/7/,https://parquedosleiloesoficial.com/web/fotos/lotes_7_hyundai-tucson-12-13_parquedosleilao.com_zzca057c705e.JPG,N/A,23400.00,"R$ 28.800,00",08/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TUCSON,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 28.800,00"
JEEP COMPASS 18/18,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-18-18--/582/,https://parquedosleiloesoficial.com/web/fotos/lotes_582_jeep-compass-18-18_parquedosleilao.com_zz8efecc5a77.JPG,N/A,48500.00,"R$ 53.700,00",07/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPASS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 53.700,00"
RENAULT CLIO 1.0 13/14,https://parquedosleiloesoficial.com/lote/RENAULT-CLIO-1.0-13-14-/451/,https://parquedosleiloesoficial.com/web/fotos/lotes_451_renault-clio-1-0-13-14_parquedosleilao.com_zz6817aecc48.JPG,N/A,14600.00,"R$ 19.600,00",10/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CLIO,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 19.600,00"
RENAULT DUSTER 1.6 15/16,https://parquedosleiloesoficial.com/lote/RENAULT-DUSTER-1.6-15-16-/383/,https://parquedosleiloesoficial.com/web/fotos/lotes_383_renault-duster-1-6-15-16_parquedosleilao.com_zz4aa499d651.JPG,N/A,30500.00,"R$ 34.100,00",03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DUSTER,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 34.100,00"
VOLKSWAGEN T-CROSS 1.0 20/20,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-1.0-20-20-/719/,https://parquedosleiloesoficial.com/web/fotos/lotes_719_volkswagen-t-cross-1-0-20-20_parquedosleilao.com_zzec29591fd1.JPG,N/A,48400.00,"R$ 50.400,00",01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T-CROSS,carros,Brasilia-DF (AGUAS CLARAS/DF),"R$ 50.400,00"
CHEVROLET CLASSIC 1.0 15/15,https://parquedosleiloesoficial.com/lote/CHEVROLET-CLASSIC-1.0-15-15-/324/,https://parquedosleiloesoficial.com/web/fotos/lotes_324_chevrolet-classic-1-0-15-15_parquedosleilao.com_zz9b64a71311.jpg,60.995,8600.00,"R$ 9.600,00",15/07/2025,CHEVROLET,6,2015,2015,Sim,DA PARTIDA,"R$ 30.745,00",FLEX,RECUPERADO DE FINANCIAMENTO,N/A,CLASSIC,carros,Brasilia-DF (AGUAS CLARAS/DF),N/A
