URL do Lote,Nome do Veículo (Header),Marca,Modelo,Versão,Ano de Fabricação,Ano Modelo,Fipe,Blindado,Chave,Funcionando,Combustível,Km,Número de Lances,Número de Visualizações,Data do Leilão,Horário do Leilão,Lance Atual,Situação do Lote
https://loopbrasil.net/lote/HONDA-CITY-17-17-/29309/,HONDA CITY 17/17,HONDA,CITY,CITY LX 1.5 16V I-VTEC,2017,2017,"R$ 63.938,00",NÃO,N/A,SIM,FLEXIVEL (ALCOOL/GASOLINA),77.416,N/A,N/A,14/07/2025,09:40,"R$ 23.700,00",N/A
https://loopbrasil.net/lote/TOYOTA-CD-HILUX-21-21-/29310/,TOYOTA CD HILUX 21/21,TOYOTA,CD HILUX,HILUX CD SRX 2.8 D-4D TURBO,2021,2021,"R$ 235.466,00",NÃO,N/A,SIM,DIESEL,44.333,N/A,N/A,14/07/2025,09:41,"R$ 102.400,00",N/A
https://loopbrasil.net/lote/FIAT-MOBI-21-21-/29311/,FIAT MOBI 21/21,FIAT,MOBI,MOBI LIKE 1.0 FIRE,2021,2021,"R$ 48.060,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),26.238,N/A,N/A,14/07/2025,09:42,"R$ 19.800,00",N/A
https://loopbrasil.net/lote/NISSAN-VERSA-16-17-/29312/,NISSAN VERSA 16/17,NISSAN,VERSA,VERSA SL CVT 1.6 16V,2016,2017,"R$ 55.193,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),93.183,N/A,N/A,14/07/2025,09:43,"R$ 20.000,00",N/A
https://loopbrasil.net/lote/AUDI-Q3-21-21-/29313/,AUDI Q3 21/21,AUDI,Q3,Q3 1.4 16V TFSI TURBO,2021,2021,"R$ 199.637,00",NÃO,N/A,SIM,GASOLINA,17.260,N/A,N/A,14/07/2025,09:44,"R$ 76.100,00",N/A
https://loopbrasil.net/lote/HYUNDAI-HB20S-19-20-/29314/,HYUNDAI HB20S 19/20,HYUNDAI,HB20S,HB20S DIAMOND 1.0 12V TGDI TURBO,2019,2020,"R$ 76.388,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),34.457,N/A,N/A,14/07/2025,09:45,"R$ 28.000,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-T-CROSS-20-21-/29315/,VOLKSWAGEN T-CROSS 20/21,VOLKSWAGEN,T-CROSS,T-CROSS HIGHLINE 250 AT 1.4 16V TSI TURBO,2020,2021,"R$ 106.053,00",NÃO,N/A,SIM,FLEX (GASOLINA/ALCOOL),24.374,N/A,N/A,14/07/2025,09:46,"R$ 38.700,00",N/A
https://loopbrasil.net/lote/CHEVROLET-SPIN-15-16-/29316/,CHEVROLET SPIN 15/16,CHEVROLET,SPIN,SPIN LT 1.8 ECONO.FLEX,2015,2016,"R$ 44.052,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),71.405,N/A,N/A,14/07/2025,09:47,"R$ 17.500,00",N/A
https://loopbrasil.net/lote/FIAT-GRAND-SIENA-21-21-/29317/,FIAT GRAND SIENA 21/21,FIAT,GRAND SIENA,GRAND SIENA 1.4 EVO 8V,2021,2021,"R$ 53.965,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),24.329,N/A,N/A,14/07/2025,09:48,"R$ 19.200,00",N/A
https://loopbrasil.net/lote/TOYOTA-ETIOS-20-20-/29318/,TOYOTA ETIOS 20/20,TOYOTA,ETIOS,ETIOS X 1.3 16V DUAL VVT-I,2020,2020,"R$ 59.049,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),78.467,N/A,N/A,14/07/2025,09:49,"R$ 20.400,00",N/A
https://loopbrasil.net/lote/CAOA-CHERY-TIGGO-8-21-22-/29319/,CAOA CHERY TIGGO 8 21/22,CAOA CHERY,TIGGO 8,TIGGO 8 TXS 1.6 16V TGDI TURBO,2021,2022,"R$ 137.167,00",NÃO,N/A,SIM,GASOLINA,22.067,N/A,N/A,14/07/2025,09:50,"R$ 57.600,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-SAVEIRO-CE-16-16-/29320/,VOLKSWAGEN SAVEIRO CE 16/16,VOLKSWAGEN,SAVEIRO CE,SAVEIRO CE CROSS 1.6 16V MSI,2016,2016,"R$ 68.146,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),85.524,N/A,N/A,14/07/2025,09:51,"R$ 26.200,00",N/A
https://loopbrasil.net/lote/FIAT-ARGO-21-21-/29321/,FIAT ARGO 21/21,FIAT,ARGO,ARGO DRIVE 1.0 FIREFLY 6V,2021,2021,"R$ 58.132,00",NÃO,N/A,SIM,FLEX (GASOLINA/ALCOOL),60.801,N/A,N/A,14/07/2025,09:52,"R$ 22.300,00",N/A
https://loopbrasil.net/lote/FIAT-STRADA-CD-17-18-/29322/,FIAT STRADA CD 17/18,FIAT,STRADA CD,STRADA CD HARD WORKING 1.4 EVO,2017,2018,"R$ 65.223,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),49.203,N/A,N/A,14/07/2025,09:53,"R$ 22.600,00",N/A
https://loopbrasil.net/lote/RENAULT-SANDERO-16-17-/29323/,RENAULT SANDERO 16/17,RENAULT,SANDERO,SANDERO AUTENTIQUE 1.0 12V SCE,2016,2017,"R$ 38.629,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),136.921,N/A,N/A,14/07/2025,09:54,"R$ 15.800,00",N/A
https://loopbrasil.net/lote/TOYOTA-YARIS-21-22-/29324/,TOYOTA YARIS 21/22,TOYOTA,YARIS,YARIS XL PLUS CONNECT CVT 1.5 16V DUAL VVT-I,2021,2022,"R$ 84.768,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),42.019,N/A,N/A,14/07/2025,09:55,"R$ 32.000,00",N/A
https://loopbrasil.net/lote/FORD-FOCUS-17-17-/29325/,FORD FOCUS 17/17,FORD,FOCUS,FOCUS SE POWERSHIFT 2.0 16V DURATEC GDI,2017,2017,"R$ 57.404,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),63.834,N/A,N/A,14/07/2025,09:56,"R$ 21.200,00",N/A
https://loopbrasil.net/lote/TOYOTA-HILUX-SW4-21-21-/29326/,TOYOTA HILUX SW4 21/21,TOYOTA,HILUX,HILUX SW4 SRX 2.8 D-4D TURBO 4X4,2021,2021,"R$ 276.763,00",NÃO,N/A,SIM,DIESEL,31.135,N/A,N/A,14/07/2025,09:57,"R$ 100.400,00",N/A
https://loopbrasil.net/lote/HYUNDAI-HB20-23-24-/29327/,HYUNDAI HB20 23/24,HYUNDAI,HB20,HB20 COMFORT 1.0 12V TGDI TURBO,2023,2024,"R$ 70.516,00",NÃO,N/A,SIM,FLEX (GASOLINA / ALCOOL),5.229,N/A,N/A,14/07/2025,09:58,"R$ 30.800,00",N/A
https://loopbrasil.net/lote/LAND-ROVER-EVOQUE-15-15-/29328/,LAND ROVER EVOQUE 15/15,LAND ROVER,RANGE ROVER EVOQUE,RANGE ROVER EVOQUE PURE 2.0 SI4 TURBO,2015,2015,"R$ 98.782,00",NÃO,N/A,SIM,GASOLINA,103.845,N/A,N/A,14/07/2025,09:59,"R$ 38.700,00",N/A
https://loopbrasil.net/lote/PEUGEOT-3008-18-19-/29329/,PEUGEOT 3008 18/19,PEUGEOT,3008,3008 GRIFFE 1.6 16V THP TURBO,2018,2019,"R$ 111.743,00",NÃO,N/A,SIM,GASOLINA,22.899,N/A,N/A,14/07/2025,10:00,"R$ 52.700,00",N/A
https://loopbrasil.net/lote/HONDA-HR-V-20-21-/29330/,HONDA HR-V 20/21,HONDA,HR-V,HR-V EX 1.8 16V I-VTEC,2020,2021,"R$ 114.704,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),21.211,N/A,N/A,14/07/2025,10:01,"R$ 40.300,00",N/A
https://loopbrasil.net/lote/HONDA-CIVIC-12-13-/29331/,HONDA CIVIC 12/13,HONDA,CIVIC,CIVIC LXL 1.8 16V,2012,2013,"R$ 64.403,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),89.433,N/A,N/A,14/07/2025,10:02,"R$ 20.100,00",N/A
https://loopbrasil.net/lote/TOYOTA-HILUX-CD-21-21-/29332/,TOYOTA HILUX CD 21/21,TOYOTA,HILUX CD,HILUX CD SRV 2.8 D-4D TURBO,2021,2021,"R$ 211.159,00",NÃO,N/A,SIM,DIESEL,28.529,N/A,N/A,14/07/2025,10:03,"R$ 90.700,00",N/A
https://loopbrasil.net/lote/KIA-SPORTAGE-18-19-/29333/,KIA SPORTAGE 18/19,KIA,SPORTAGE,SPORTAGE EX 2.0 16V,2018,2019,"R$ 112.726,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),35.293,N/A,N/A,14/07/2025,10:04,"R$ 42.800,00",N/A
https://loopbrasil.net/lote/CHEVROLET-ONIX-19-20-/29334/,CHEVROLET ONIX 19/20,CHEVROLET,ONIX,ONIX JOY BLACK 1.0 MPFI,2019,2020,"R$ 54.411,00",NÃO,N/A,SIM,FLEX (GASOLINA/ALCOOL),76.883,N/A,N/A,14/07/2025,10:05,"R$ 22.600,00",N/A
https://loopbrasil.net/lote/VOLKSWAGEN-POLO-18-18-/29335/,VOLKSWAGEN POLO 18/18,VOLKSWAGEN,POLO,POLO 1.6 16V MSI,2018,2018,"R$ 60.544,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),42.872,N/A,N/A,14/07/2025,10:06,"R$ 21.100,00",N/A
https://loopbrasil.net/lote/BMW-SERIE-3-14-15-/29336/,BMW SERIE 3 14/15,BMW,SERIE 3,SERIE 3 320I ACTIVE FLEX 2.0 16V TWIN TURBO,2014,2015,"R$ 97.029,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),95.154,N/A,N/A,14/07/2025,10:07,"R$ 36.900,00",N/A
https://loopbrasil.net/lote/HYUNDAI-CRETA-21-21-/29337/,HYUNDAI CRETA 21/21,HYUNDAI,CRETA,CRETA SMART PLUS 1.6 16V CVVT,2021,2021,"R$ 94.471,00",NÃO,N/A,SIM,FLEX (ALCOOL/GASOLINA),16.058,N/A,N/A,14/07/2025,10:08,"R$ 33.600,00",N/A
https://loopbrasil.net/lote/FORD-RANGER-CD-20-21-/29338/,FORD RANGER CD 20/21,FORD,RANGER CD,RANGER CD XLS AT 2.2 DURATORQ,2020,2021,"R$ 114.284,00",NÃO,N/A,SIM,DIESEL,32.456,N/A,N/A,14/07/2025,10:09,"R$ 60.400,00",N/A
